"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points","opp_three_pt_Attempts","opp_three_pt_Made","opp_three_pt_Percentage","win_team","diff_tpa","diff_tpm","diff_tpp","Percent_of_Points","opp_Percent_of_Points","diff_pop"
"169","nyk",34013,21,9,42.9,117,23,8,34.8,1,-2,1,8.1,0.230769230769231,0.230769230769231,0
"170","nyk",34027,20,8,40,109,25,8,32,0,-5,0,8,0.220183486238532,0.210526315789474,0.00965717044905845
"171","nyk",34046,30,10,33.3,110,33,11,33.3,1,-3,-1,0,0.272727272727273,0.34375,-0.0710227272727273
"172","nyk",34065,23,6,26.1,87,27,11,40.7,0,-4,-5,-14.6,0.206896551724138,0.28695652173913,-0.0800599700149925
"173","nyk",34071,23,7,30.4,107,22,7,31.8,0,1,0,-1.4,0.196261682242991,0.177966101694915,0.0182955805480754
"174","nyk",34086,25,9,36,93,27,5,18.5,1,-2,4,17.5,0.290322580645161,0.194805194805195,0.0955173858399665
"175","nyk",34102,25,9,36,105,23,8,34.8,1,2,1,1.2,0.257142857142857,0.235294117647059,0.0218487394957983
"176","nyk",34109,29,12,41.4,112,25,15,60,0,4,-3,-18.6,0.321428571428571,0.378151260504202,-0.0567226890756302
"177","nyk",34133,27,10,37,104,21,6,28.6,1,6,4,8.4,0.288461538461538,0.191489361702128,0.0969721767594108
"178","nyk",34148,29,9,31,107,22,6,27.3,1,7,3,3.7,0.252336448598131,0.174757281553398,0.0775791670447327
"179","nyk",34168,28,11,39.3,113,29,8,27.6,1,-1,3,11.7,0.292035398230089,0.216216216216216,0.0758191820138723
"180","nyk",34181,32,12,37.5,102,22,8,36.4,0,10,4,1.1,0.352941176470588,0.224299065420561,0.128642111050028
"181","nyk",34195,19,6,31.6,103,22,8,36.4,0,-3,-2,-4.8,0.174757281553398,0.214285714285714,-0.0395284327323162
"182","nyk",34211,32,13,40.6,106,19,4,21,1,13,9,19.6,0.367924528301887,0.115384615384615,0.252539912917271
"183","nyk",34225,31,12,38.7,118,28,10,35.7,1,3,2,3,0.305084745762712,0.263157894736842,0.0419268510258698
"184","nyk",34242,29,11,37.9,106,28,9,32.1,1,1,2,5.8,0.311320754716981,0.275510204081633,0.0358105506353485
"185","nyk",34256,25,7,28,114,25,11,44,1,0,-4,-16,0.184210526315789,0.320388349514563,-0.136177823198774
"186","nyk",34267,31,11,35.5,94,40,22,55,0,-9,-11,-19.5,0.351063829787234,0.523809523809524,-0.17274569402229
"187","nyk",34285,29,10,34.5,103,28,7,25,1,1,3,9.5,0.29126213592233,0.21,0.0812621359223301
"188","nyk",34300,22,10,45.4,118,28,10,35.7,1,-6,0,9.7,0.254237288135593,0.267857142857143,-0.0136198547215496
"189","nyk",34312,20,7,35,111,30,9,30,0,-10,-2,5,0.189189189189189,0.238938053097345,-0.0497488639081559
"190","nyk",34328,21,5,23.8,90,32,9,28.1,0,-11,-4,-4.3,0.166666666666667,0.262135922330097,-0.0954692556634304
"191","nyk",34344,23,8,34.8,114,27,10,37,0,-4,-2,-2.2,0.210526315789474,0.236220472440945,-0.0256941566514712
"192","nyk",34361,23,13,56.5,118,23,6,26.1,1,0,7,30.4,0.330508474576271,0.162162162162162,0.168346312414109
"193","nyk",34378,20,9,45,106,27,5,18.5,1,-7,4,26.5,0.254716981132075,0.157894736842105,0.0968222442899702
"194","nyk",34396,23,8,34.8,114,36,14,38.9,0,-13,-6,-4.1,0.210526315789474,0.352941176470588,-0.142414860681115
"195","nyk",34418,27,7,25.9,98,27,7,25.9,0,0,0,0,0.214285714285714,0.205882352941176,0.00840336134453781
"196","nyk",34435,23,7,30.4,92,29,12,41.4,0,-6,-5,-11,0.228260869565217,0.346153846153846,-0.117892976588629
"197","nyk",34445,32,10,31.2,122,55,21,38.2,0,-23,-11,-7,0.245901639344262,0.488372093023256,-0.242470453678994
"198","nyk",34456,21,8,38.1,103,31,15,48.4,0,-10,-7,-10.3,0.233009708737864,0.391304347826087,-0.158294639088223
"199","nyk",34471,28,13,46.4,104,28,9,32.1,0,0,4,14.3,0.375,0.257142857142857,0.117857142857143
"200","nyk",34488,23,13,56.5,116,22,12,54.6,1,1,1,1.9,0.336206896551724,0.324324324324324,0.0118825722273998
"201","nyk",34492,31,12,38.7,109,24,11,45.8,0,7,1,-7.09999999999999,0.330275229357798,0.268292682926829,0.0619825464309689
"202","nyk",34508,29,11,37.9,96,27,12,44.4,0,2,-1,-6.5,0.34375,0.327272727272727,0.0164772727272727
"203","nyk",34520,22,4,18.2,97,28,7,25,0,-6,-3,-6.8,0.123711340206186,0.214285714285714,-0.0905743740795287
"204","nyk",34528,23,7,30.4,104,18,3,16.7,1,5,4,13.7,0.201923076923077,0.101123595505618,0.100799481417459
"205","nyk",34546,29,12,41.4,101,22,8,36.4,0,7,4,5,0.356435643564356,0.206896551724138,0.149539091840218
"206","nyk",34553,26,8,30.8,107,32,12,37.5,0,-6,-4,-6.7,0.224299065420561,0.333333333333333,-0.109034267912773
"207","nyk",34570,25,10,40,117,33,9,27.3,1,-8,1,12.7,0.256410256410256,0.254716981132075,0.00169327527818092
"208","nyk",34578,24,7,29.2,110,32,13,40.6,0,-8,-6,-11.4,0.190909090909091,0.345132743362832,-0.154223652453741
"209","nyk",34594,21,11,52.4,105,24,9,37.5,0,-3,2,14.9,0.314285714285714,0.252336448598131,0.0619492656875835
"210","nyk",34612,22,8,36.4,109,26,7,26.9,1,-4,1,9.5,0.220183486238532,0.203883495145631,0.0162999910929011
"211","nyk",34628,23,7,30.4,95,26,6,23.1,0,-3,1,7.3,0.221052631578947,0.174757281553398,0.0462953500255493
"212","nyk",34639,27,9,33.3,110,37,13,35.1,1,-10,-4,-1.8,0.245454545454545,0.364485981308411,-0.119031435853866
"213","nyk",34651,51,18,35.3,139,31,10,32.3,0,20,8,3,0.388489208633094,0.211267605633803,0.177221602999291
"214","nyk",34664,24,5,20.8,101,22,7,31.8,0,2,-2,-11,0.148514851485149,0.179487179487179,-0.030972328002031
"215","nyk",34673,27,6,22.2,95,25,5,20,1,2,1,2.2,0.189473684210526,0.166666666666667,0.0228070175438597
